name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight	spelldesc	spelldescstr	calc1	spelldesccalc	spelldesccolor
Balanced Axe	taxe	1wpn	bal	hax	bal	0		2	1	0	xxx			7	13			0	0	15	19		-10	75	75		50	13		16	1	0	2	2212			bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	500	500	500	flpbal	invbal			1	4	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255	1	1	1	1	20	2	2	0	xxx	xxx	1	0		4	ItemTypeThrowAxe4	-10		
Javelin	jave	1wpn	jav	jav	jav	0		4	1	0	xxx			2	7			0	0	8	18	2	-10	75	75			3		1	1	0	2	601			jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	500	500	500	flpjav	invjav			1	2	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	5	0	3	2	3			255					20					255					255					255					255					20					255					255					1	1	1			255					255					255					255					255					20	1	1	1	1	20	5	8	0	glv	glv	1	0		4	ItemTypeJavelin4	-10		
Pilum	jave	1wpn	pil	pil	pil	0		4	1	0	xxx			5	12			0	0	9	25	2		75	75		45	4		10	1	0	2	1536			pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	500	500	500	flppil	invpil			1	2	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	5	0	3					255					20					255	1	1			20					255					255					20					255					255					1	1	1			255	1	1			255	1	1	1	2	20					255					255					20	1	1	1	1	20	5	8	0	tsp	tsp	1	0		4	ItemTypeJavelin3			
Short Spear	jave	1wpn	ssp	jav	ssp	0		4	1	0	xxx			3	17			0	0	13	28	2	10	75	75		45	5		15	1	0	2	2072			ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	500	500	500	flpssp	invssp			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	5	0	3					255					30					255	1	1	1	1	20					255					255					20					255					255					255	1	1			255	1	2			255					255					255					255					20	1	1	1	1	20	5	8	0	tsp	tsp	1	0		4	ItemTypeJavelin2	10		
Glaive	fthr	1wpn	glv	glv	glv	0		4	1	0	xxx			7	22			0	0	20	28	2	20	75	75		50	7		23	1	0	2	2966		376	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	500	500	500	flpglv	invglv			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	5	0	3					255					255					255			2	2	30					255					255					20					255					255					255	1	1			255	1	2			255					255					255					255					20	1	1	1	1	20	1	2	0	xxx	xxx	1	0		4	ItemTypeJavelin1	20		
Throwing Spear	fthr	1wpn	tsp	pil	tsp	0		4	1	0	xxx			7	19			0	0	15	38	2	-10	75	75		60	8		29	1	0	2	3678		376	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	500	500	500	flptsp	invtsp			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	5	0	3					255					255					255					255					255					255					20					255					255					255					255					255	1	1	1	2	20					255					255					20	1	1	1	1	20	1	2	0	xxx	xxx	1	0		4	ItemTypeJavelin4	-10		
Spear	pole	1wpn	spr	spr	spr	0		4	1	0	xxx			0	0		1	4	19	0	0	3	-10	100			20	38		5	1	0	240	1300			spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	5	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					20					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	5	8	0	spt	pik	1	0		4	ItemTypePolearm4	-10		
Trident	pole	1wpn	tri	tri	tri	0		4	1	0	xxx			0	0		1	12	19	0	0	3		100		38	24	44		9	1	0	546	2629			tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	5	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					20					255	1	1			20					255					255					255					255					255					1					255					255					255					255					255					255					255	5	8	0	spt	pik	1	0		4	ItemTypePolearm3			
Brandistock	pole	1wpn	brn	brn	brn	0		4	1	0	xxx			0	0		1	9	22	0	0	4	-20	100		40	50	35		16	1	0	930	5818			brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn			1	5	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255	5	8	0	xxx	pik	1	0		4	ItemTypePolearm5	-20		
Spetum	pole	1wpn	spt	tri	spt	0		4	1	0	xxx			0	0		1	19	29	0	0	4		100		54	35	35		20	1	0	1338	9188			spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	6	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1		1	1	2	20					255					255					255					255	5	8	0	xxx	xxx	1	0		4	ItemTypePolearm3			
Pike	pole	1wpn	pik	pik	pik	0		4	1	0	xxx			0	0		1	18	79	0	0	4	20	100		60	45	32		24	1	0	1618	12610			pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	6	0	3 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	1	30					255					255					255					255					255					255		1			255		1			255	1	1	1	2	20					255	1	1	1	2	20					255					255	5	8	0	xxx	xxx	1	0		4	ItemTypePolearm1	20		
Bardiche	pole	1wpn	bar	hal	bar	0		4	1	0	xxx			0	0		1	2	34	0	0	2	10	100		40		63		5	1	0	242	1302			bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	5	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					20					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	2	2	0	hal	wsc	1	0		4	ItemTypePolearm2	10		
Voulge	pole	1wpn	vou	hal	vou	0		4	1	0	xxx			0	0		1	8	27	0	0	2		100		50		63		11	1	0	489	2944			vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	5	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	hal	wsc	1	0		4	ItemTypePolearm3			
Scythe	scyt	1wpn	scy	scy	scy	0		4	1	0	xxx			0	0		1	15	32	0	0	1	-20	100		35		82		15	1	0	678	4544		315	scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	invscyu	invscyu	1	5	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	255					255					255					255					255					255	1	1	1	1	255					255	1	1	1	1	3					255					255					255	1	1	1	1	255					255	1	1	1	1	255					255	2	2	0	hal	wsc	1	0		4	ItemTypeScythe5	-20		
Poleaxe	pole	1wpn	pax	hal	pax	0		4	1	0	xxx			0	0		1	23	49	0	0	3	10	100		62		82		21	1	0	1361	9744			pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	5	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255					255					255					255	2	2	0	xxx	xxx	1	0		4	ItemTypePolearm2	10		
Halberd	pole	1wpn	hal	pax	hal	0		4	1	0	xxx			0	0		1	15	57	0	0	4		100		75	47	69		29	1	0	2165	19095			hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255	1	1	1	1	20					255					255	2	2	0	xxx	xxx	1	0		4	ItemTypePolearm3			
Thresher	scyt	1wpn	wsc	scy	wsc	0		3	1	0	xxx			0	0		1	25	50	0	0	4	-20	100		60		69		34	1	0	2710	26938		315	wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	255					255					255					255					255					255	1	1	1	1	255					255	1	1	1	1	3					255					255					255	1	1	1	1	255					255	1	1	1	1	255					255	2	2	0	xxx	xxx	1	0		4	ItemTypeScythe5	-20		
Short Staff	sstf	1wpn	sst	bst	sst	0		2	1	0	xxx			0	0		1	2	7	0	0	1	-10	100				25		1	1	0	134	634	1		sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	3	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255	5	9	5	9	1					255					255					255					255					255					1					255					255					255					255					255					255					255					255	5	8	0	cst	bst	1	0		4	ItemTypeStaff4	-10		
Long Staff	sstf	1wpn	lst	sst	lst	0		2	1	0	xxx			0	0		1	3	10	0	0	1		100				38		8	1	0	370	2041	1		lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255	2	3	1	2	1					255					255	1	2		2	1					255					255	1	1		1	1					255					255					255					255					255					255					255					255	5	8	0	cst	wst	1	0		4	ItemTypeStaff3			
Gnarled Staff	sstf	1wpn	cst	cst	cst	0		2	1	0	xxx			0	0		1	5	15	0	0	1	10	100				44		12	1	0	613	3538	1		cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	3	5	5	9	1					255					255	2	3	2	5	1					255					255					255					255					255					255					255					255	5	8	0	xxx	wst	1	0		4	ItemTypeStaff2	10		
Battle Staff	sstf	1wpn	bst	sst	bst	0		2	1	0	xxx			0	0		1	8	17	0	0	1		100				50		17	1	0	978	6358	1		bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	1	3	1	3	1					255					255	2	3	2	5	1					255					255					255					255					20					255					255	2	3	1	4	20	5	8	0	xxx	xxx	1	0		4	ItemTypeStaff3			
War Staff	sstf	1wpn	wst	lst	wst	0		2	1	0	xxx			0	0		1	15	35	0	0	1	20	100				63		24	1	0	1588	12428	1		wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst			1	6	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					20					255					255	1	3	1	4	20	5	8	0	xxx	xxx	1	0		4	ItemTypeStaff1	20		
Short Bow	bow	1wpn	sbw	sbw	sbw	0		2	1	0	xxx			0	0		1	2	5	0	0		5		100		15	25	1	1	1	0	80	620			sbw	8sb	6sb	bow	bow	6	bow	2	3					flpsbw	invsbw			1	3	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	1					255					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	5	8	0	hbw	cbw	1	0		4	ItemTypeBow2	5		
Hunter's Bow	bow	1wpn	hbw	sbw	hbw	0		2	1	0	xxx			0	0		1	3	8	0	0		-10		100		28	40	1	5	1	0	280	1350			hbw	8hb	6hb	bow	bow	6	bow	2	3					flphbw	invhbw			1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	1					20					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	5	8	0	lbw	sbb	1	0		4	ItemTypeBow4	-10		
Long Bow	bow	1wpn	lbw	lbw	lbw	0		2	1	0	xxx			0	0		1	4	13	0	0				100	22	19	35	1	8	1	0	392	2084			lbw	8lb	6lb	bow	bow	6	bow	2	4					flplbw	invlbw			1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					20					255			1	1	20					255					255					255					255					255					1					255					255					255					255					255					255					255	5	8	0	cbw	lbb	1	0		4	ItemTypeBow3			
Composite Bow	bow	1wpn	cbw	lbw	cbw	0		2	1	0	xxx			0	0		1	5	10	0	0		-10		100	25	35	45	1	12	1	0	582	3445			cbw	8cb	6cb	bow	bow	6	bow	2	3					flpcbw	invcbw	invcbwu	invcbwu	1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	2	20					255					255					255					255					255					255		1			255		1			255					255					255					255					255					255	5	8	0	sbb	swb	1	0		4	ItemTypeBow4	-10		
Short Battle Bow	bow	1wpn	sbb	sbb	sbb	0		2	1	0	xxx			0	0		1	7	14	0	0				100	30	40	50	1	18	1	0	836	6062			sbb	8s8	6s7	bow	bow	6	bow	2	3					flpsbb	invsbb	invsbbu	invsbbu	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255	5	8	0	lbb	lwb	1	0		4	ItemTypeBow3			
Long Battle Bow	bow	1wpn	lbb	lbb	lbb	0		2	1	0	xxx			0	0		1	4	23	0	0		10		100	40	50	55	1	23	1	0	1236	9907			lbb	8l8	6l7	bow	bow	6	bow	2	4					flplbb	invlbb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255	5	8	0	swb	lwb	1	0		4	ItemTypeBow2	10		
Short War Bow	bow	1wpn	swb	sbb	swb	0		2	1	0	xxx			0	0		1	8	18	0	0				100	35	55	60	1	27	1	0	2000	16700			swb	8sw	6sw	bow	bow	6	bow	2	3					flpswb	invswb	invswbu	invswbu	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255					20	1	1	1	2	20					255					255	5	8	0	lwb	xxx	1	0		4	ItemTypeBow3			
Long War Bow	bow	1wpn	lwb	lbb	lwb	0		2	1	0	xxx			0	0		1	4	29	0	0		10		100	50	65	69	1	31	1	0	2860	25765			lwb	8lw	6lw	bow	bow	6	bow	2	4					flplwb	invlwb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					20	1	1	1	2	20					255					255	5	8	0	xxx	xxx	1	0		4	ItemTypeBow2	10		
Light Crossbow	bow	1wpn	lxb	lxb	lxb	0		2	1	0	xxx			0	0		1	8	12	0	0		-10		100	21	27	38	1	6	1	0	642	2064			lxb	8lx	6lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	invlxbu	invlxbu	1	3	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1		1		1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	mxb	rxb	1	0		4	ItemTypeBow4	-10		
Crossbow	bow	1wpn	mxb	lxb	mxb	0		2	1	0	xxx			0	0		1	12	20	0	0				100	40	33	50	1	15	1	0	1876	9035			mxb	8mx	6mx	xbw	xbw	5	xbow	2	3					flpmxb	invmxb	invmxbu	invmxbu	1	4	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	1	20					255					255					255					255					255					1	1	1		1	1	1	1		1	1					255					255					255					255					255	5	8	0	hxb	hxb	1	0		4	ItemTypeBow3			
Heavy Crossbow	bow	1wpn	hxb	hxb	hxb	0		2	1	0	xxx			0	0		1	18	33	0	0		10		100	60	40	63	1	24	1	0	3277	22561			hxb	8hx	6hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255					20		1	1	1	20					255					255	5	8	0	xxx	xxx	1	0		4	ItemTypeBow2	10		
Repeating Crossbow	bow	1wpn	rxb	hxb	rxb	0		2	1	0	xxx			0	0		1	8	15	0	0		-40		100	40	50	50	1	33	1	0	2191	21877			rxb	8rx	6rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	5	0	fires 5 shots before reload	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					20		1	1	2	20					255					255	5	8	0	xxx	xxx	1	0		4	ItemTypeBow5	-40		
Rancid Gas Potion	tpot		gps	gpl	gps	0				0	xxx			0	2			0	0	0	0							3	1	32	1	24	160	0			gps			1ht	1ht	5	hth	1	1	1	3	25	6	flpgpl	invgpl					0		0	item_potion	14	item_potion	0	0	5	0	1	0			49	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1						
Oil Potion	tpot		ops	opl	ops	0				0	xxx			0	2			0	0	0	0							3	1	28	1	20	120	0			ops			1ht	1ht	5	hth	1	1	1	3	25	6	flpopl	invopl					0		0	item_potion	14	item_potion	0	0	5	0	1	0			46	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1						
Choking Gas Potion	tpot		gpm	gps	gpm	0				0	xxx			0	2			0	0	0	0							3	1	20	1	16	96	0			gpm			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgpm					0		0	item_potion	14	item_potion	0	0	5	0	1	0			48	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1						
Exploding Potion	tpot		opm	opl	opm	0				0	xxx			0	2			0	0	0	0							3	1	16	1	12	64	0			opm			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invopm					0		0	item_potion	14	item_potion	0	0	5	0	1	0			45	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1						
Strangling Gas Potion	tpot		gpl	gps	gpl	0				0	xxx			0	2			0	0	0	0							3	1	8	1	6	32	0			gpl			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgps					0		0	item_potion	14	item_potion	0	0	5	0	1	0			47	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1						
Fulminating Potion	tpot		opl	ops	opl	0				0	xxx			0	2			0	0	0	0							3	1	4	1	0	19	0			opl			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invops					0		0	item_potion	14	item_potion	0	0	5	0	1	0			44	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1						
Decoy Gidbinn	knif		d33	dgr	d33	0				0	xxx			2	3			0	0	0	0		-20	100		15	20	13		0	1	0	533	0			d33			1ht	1ht	5	1ht	1	2					flpd33	invd33					0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	0	0		4	ItemTypeKnife5	-20		
The Gidbinn	knif		g33	dgr	g33	0				0	xxx			4	9			0	0	0	0		-20	100		15	25	38		0	1	0	533	0			g33			1ht	1ht	5	1ht	1	2					flpg33	invg33					0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	0	0		4	ItemTypeKnife5	-20		
Wirt's Leg	club		leg	clb	leg	0				0	xxx			3	10			0	0	0	0		-10	100				83		0	1	0	16	0			leg			1hs	1hs	5	1hsl	1	3					flpleg	invleg					0		0	item_staff	12	item_staff	0	0	5	0	0	0	1	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0		4	ItemTypeClub4	-10		
Horadric Malus	hamm		hdm	whm	hdm	0				0	xxx			8	19			0	0	0	0		20	100		15	15	69		0	1	0	480	0			hdm			1hs	1hs	5	1hsl	1	2					flphmr	invhmr					0		0	item_sword	12	item_sword	1	0	5	0	0	0	4	1	0	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	0	0		4	ItemTypeHammer1	20		
Hellforge Hammer	hamm		hfh	whm	hfh	0				0	xxx			8	19			0	0	0	0			100				69		0	1	0	480	0			hfh			1hs	1hs	5	1hsl	2	3					flphmr	invhfh					0		0	item_sword	12	item_sword	1	0	5	0	0	0	25	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	0	0		4	ItemTypeHammer3			
Horadric Staff	staf		hst	bst	hst	0				0	xxx			0	0		1	15	25	0	0	2		100		30		63		0	1	0	978	0			hst			stf	stf	5	staf	1	4					flphst	invhst					0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	0	0		4	ItemTypeStaff3			
Staff of Kings	staf		msf	bst	msf	0				0	xxx			0	0		1	13	19	0	0	2		100		25		57		0	1	0	978	0			msf			stf	stf	5	staf	1	3					flpmsf	invmsf					0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	0	0		4	ItemTypeStaff3			
Hatchet	axe	2wpn	9ha	hax	9ha	0		3	1	0	xxx			13	27			0	0	0	0			100		25	25	35		31	1	19	648	8622			hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	xxx	xxx	1	0		4	ItemTypeAxe3			
Cleaver	axe	2wpn	9ax	axe	9ax	0		4	1	0	xxx			13	42			0	0	0	0	1	10	100		68		30		34	1	22		14161			axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	xxx	xxx	1	0		4	ItemTypeAxe2	10		
Twin Axe	axe	2wpn	92a	axe	92a	0		4	1	0	xxx			17	48			0	0	0	0	1	10	100		85		30		39	1	25	2335	27168			2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	xxx	xxx	1	0		4	ItemTypeAxe2	10		
Battle Sickle	scyt	2wpn	9mp	axe	9mp	0		4	1	0	xxx			18	43			0	0	0	0	1	-10	100		80		33		43	1	25	3650	44042		314	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0		4	ItemTypeScythe4	-10		
Naga	axe	2wpn	9wa	hax	9wa	0		4	1	0	xxx			20	57			0	0	0	0	2		100		121		33		48	1	25	5335	69322			wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0		4	ItemTypeAxe3			
Military Axe	axe	2wpn	9la	lax	9la	0		4	1	0	xxx			0	0		1	18	43	0	0	1	-10	100		73		38		34	1	22	1090	13162			lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0		4	ItemTypeAxe4	-10		
Bearded Axe	axe	2wpn	9ba	lax	9ba	0		4	1	0	xxx			0	0		1	27	62	0	0	1		100		92		44		38	1	25	2174	24957			bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0		4	ItemTypeAxe3			
